Log(g),log(teff),mWD,tcool(gyr),R(Rsun),core,log(L),TpreWD(gyr),Mzams,Mbol,Gaia_G_mag,Gaia_BP_mag,Gaia_RP_mag,SDSS_u_mag,SDSS_g_mag,SDSS_r_mag,SDSS_i_mag,SDSS_z_mag,PS1_g_mag,PS1_r_mag,PS1_i_mag,PS1_z_mag,PS1_y_mag,U,B,V,R,I,J,H,K,FUV,NUV,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z,PS1_g,PS1_r,PS1_i,PS1_z,PS1_y
8.0,3.48,0.564,7.30984,0.012428,CO,-4.936,6.59657,2.091,17.0802,17.244,18.4426,16.1868,22.7651,19.4001,17.4807,16.6134,16.1538,19.0885,17.451,16.6106,16.205,16.0233,21.8498,20.1188,18.1817,17.0034,15.985,15.33,15.4528,15.7052,47.5207,30.5596,3019.9517204020162,32025.98752745544,17385.57327107906,42277.59112352439,291.79173130470406,9569.407813379024,25845.026325052982,32087.654290452025,29578.69960927016,11841.533886075727,26317.186776363094,31572.495078022464,30317.896559634857,28251.700841640286
8.0,3.46,0.564,7.57936,0.012428,CO,-5.016,6.59966,2.091,17.2802,17.5083,18.764,16.425,23.2056,19.7661,17.7809,16.868,16.3583,19.4447,17.7491,16.864,16.4215,16.1968,22.3061,20.5,18.5091,17.2852,16.2221,15.4377,15.5616,15.8184,48.482,31.242,2884.031503126606,25106.289373982865,12930.907816362711,33949.25390062886,194.47912006465094,6831.012232326937,19601.8462701159,25380.37122220688,24500.73296118408,8529.586191591041,19998.593955532873,25000.51207398555,24836.995971621334,24079.341100014295
8.0,3.44,0.564,7.85535,0.012428,CO,-5.096,6.60218,2.091,17.4802,17.7607,19.071,16.6526,23.6263,20.1156,18.0676,17.111,16.5536,19.7849,18.0337,17.1061,16.6282,16.3626,22.7418,20.8641,18.8218,17.5542,16.4486,15.5406,15.6656,15.9264,49.4001,31.8937,2754.2287033381663,19898.600376735387,9746.058540113045,27528.987226409947,132.00579009681226,4950.91035838348,15052.789167835963,20290.74392349937,20467.23032512906,6235.165164951028,15387.19518221913,20003.634203312147,20531.42376611748,20669.24431962645
8.0,3.42,0.564,8.13892,0.012428,CO,-5.176,6.60428,2.091,17.6803,18.0018,19.3641,16.8698,24.028,20.4494,18.3414,17.3432,16.7401,20.1097,18.3055,17.3372,16.8257,16.5208,23.1579,21.2118,19.1204,17.8111,16.6648,15.6389,15.7648,16.0297,50.2768,32.5161,2630.2679918953813,15936.117755029478,7440.275477305256,22537.733243391678,91.18281189473893,3640.533762104152,11697.605718360104,16383.92570545185,17236.896618160335,4623.043310599758,11979.521263311397,16168.469220189803,17116.66168726458,17866.71043378877
8.0,3.4,0.564,8.42935,0.012428,CO,-5.256,6.60622,2.091,17.8803,18.232,19.644,17.0773,24.4116,20.7681,18.6029,17.5649,16.9182,20.42,18.5651,17.558,17.0142,16.6719,23.5552,21.5438,19.4055,18.0565,16.8714,15.7327,15.8596,16.1282,51.114,33.1104,2511.88643150958,12891.472608674527,5749.485931915599,18617.02295648875,64.04319365544698,2714.4701048897155,9193.840791588835,13357.89329561754,14629.149457405307,3473.8252062873466,9431.905975416652,13193.162273592765,14388.61747357461,15545.49655450851
8.1,4.9,0.737,0.00049,0.012668,CO,0.76,0.26998,3.736,2.8394,8.7563,8.5629,9.1273,7.9877,8.4875,9.0545,9.4398,9.8171,8.5645,9.0601,9.4673,9.7641,9.9824,7.2057,8.4856,8.8297,8.974,9.1742,9.6247,9.7629,9.8832,6.4694,7.118,79432.82347242821,76554180.17241365,149780541.18059516,27120432.68291107,228780687.42998868,213457511.84663826,58377213.16627611,22864639.043881226,9750916.930385178,184669146.45543918,57542117.89492318,21878386.184819017,11001336.446977753,7092363.377755849
8.1,4.88,0.732,0.00057,0.012631,CO,0.677,0.27317,3.721,3.0467,8.8013,8.6079,9.1712,8.0324,8.5333,9.0984,9.4839,9.8604,8.6108,9.1047,9.5108,9.808,10.0253,7.2504,8.5313,8.8745,9.0181,9.2183,9.6668,9.8042,9.9236,6.526,7.1673,75857.75750291836,73877050.65569617,144542657.28031164,26198549.87271674,220841149.86119872,205841094.25079805,56392844.0393431,22083351.68707015,9424668.767535098,177997941.97640377,55550309.32662309,21142479.7404401,10627376.964907154,6857591.605437312
8.1,4.86,0.728,0.00066,0.012595,CO,0.595,0.27622,3.706,3.2536,8.8445,8.6511,9.2134,8.0754,8.5774,9.1406,9.5262,9.902,8.6552,9.1477,9.5526,9.8502,10.0666,7.2934,8.5752,8.9176,9.0604,9.2606,9.7074,9.8438,9.9624,6.5803,7.2147,72443.59600749906,71401720.33345246,139699599.53439435,25344071.187301815,213480949.79022303,198779323.62827617,54553563.48848604,21361124.70665148,9122318.312507607,171843894.91757926,53698927.0506953,20460443.80536077,10280759.799357869,6639429.203129643
8.1,4.84,0.723,0.00076,0.01256,CO,0.512,0.27906,3.693,3.46,8.9039,8.7132,9.2672,8.1423,8.6404,9.198,9.5802,9.9539,8.7167,9.205,9.6077,9.9034,10.119,7.3604,8.639,8.9766,9.1179,9.315,9.7576,9.8928,10.0092,6.6642,7.2894,69183.09709189362,67977586.40022637,132669846.30689554,24253445.525061574,201844161.30682412,188620231.43487436,52033158.51539428,20438131.08652134,8745049.805045592,163286835.4941504,51222724.32633772,19556544.231846537,9843788.572449407,6361914.222127466
8.1,4.82,0.719,0.00087,0.012526,CO,0.43,0.28178,3.68,3.6662,8.9465,8.7563,9.3088,8.1841,8.6843,9.2397,9.6218,9.995,8.7603,9.2464,9.6488,9.9442,10.1604,7.4027,8.6831,9.0183,9.1591,9.3558,9.7983,9.9328,10.0492,6.7155,7.3349,66069.34480075965,65717374.52535375,128199605.89462729,23468639.22213169,195276802.51407272,182130524.15911603,50344803.86999656,19776782.822406255,8465970.509249225,157712325.86298454,49574362.39061079,18932439.542438604,9532278.914297039,6157186.000814957
8.1,4.8,0.716,0.00099,0.012493,CO,0.347,0.28442,3.667,3.8722,8.9874,8.7976,9.3487,8.2242,8.7264,9.2798,9.6617,10.0344,8.8021,9.2861,9.6882,9.9833,10.2001,7.4434,8.7253,9.0584,9.1987,9.3949,9.8374,9.9712,10.0876,6.7646,7.3786,63095.7344480193,63622618.51532019,124067498.20987606,22741507.157656055,189191660.98485368,176130298.95320886,48775978.21909671,19164036.0505874,8207446.983879963,152558697.1997864,48047242.9425469,18354303.697410043,9243747.546902593,5967516.219222877
8.1,4.78,0.712,0.00114,0.012459,CO,0.265,0.28698,3.655,4.078,9.0267,8.8373,9.387,8.2628,8.7668,9.3182,9.7,10.0722,8.8422,9.3242,9.726,10.0209,10.2382,7.4823,8.7658,9.0968,9.2366,9.4325,9.8749,10.0081,10.1245,6.8118,7.4205,60255.95860743581,61696232.950440824,120266627.625298,22073253.541416373,183581577.90491223,170624417.02839142,47338347.82531559,18600905.546361286,7969942.614278215,147830511.51110822,46643977.82700835,17823172.964833368,8977908.696048992,5793229.271127661
8.1,4.76,0.708,0.00129,0.012427,CO,0.183,0.28944,3.643,4.2836,9.0854,8.8975,9.44,8.3311,8.8265,9.374,9.7533,10.1256,8.9007,9.38,9.7798,10.0739,10.2905,7.5496,8.8283,9.1537,9.2927,9.486,9.9266,10.0601,10.1725,6.8894,7.4931,57543.993733715666,58750615.746560045,114366520.46580006,21130030.637993142,173277779.24667755,162328567.26425275,45198796.528292604,17801141.91245387,7626564.882737733,140798443.76356962,44535809.970657505,17048995.52262418,8594269.324940069,5549252.5634790715
8.1,4.74,0.705,0.00147,0.012396,CO,0.1,0.2918,3.632,4.489,9.1424,8.9576,9.493,8.3952,8.8866,9.4298,9.806,10.1769,8.9605,9.4342,9.833,10.1249,10.3407,7.6133,8.8912,9.2098,9.3472,9.5374,9.9765,10.1078,10.2206,6.9645,7.5607,54954.08738576248,56025002.45116735,108749775.65286773,20224117.895417754,164161886.73762578,154356320.36490822,43149556.16117206,17042657.804174427,7311027.725827254,133920578.33188014,42579329.34971191,16315044.333421249,8240971.665000806,5325053.22351305
8.1,4.72,0.701,0.00168,0.012365,CO,0.018,0.29408,3.621,4.6941,9.2268,9.0411,9.5809,8.4833,8.9704,9.5145,9.8932,10.2668,9.0406,9.5187,9.9194,10.2138,10.4334,7.7023,8.9786,9.2867,9.4332,9.6246,10.0696,10.2024,10.3173,7.0359,7.6389,52480.74602497723,52095088.23540397,101205301.5969434,18744958.447533287,152127324.96248183,143608223.82680744,40111714.60663125,15806372.689952519,6763839.98304891,125020781.65756883,39588925.13125562,15142694.19775337,7631208.414376567,4913815.507964829
8.1,4.7,0.698,0.00191,0.012336,CO,-0.064,0.2963,3.611,4.8992,9.3075,9.1209,9.6649,8.5675,9.0505,9.5955,9.9766,10.3528,9.1173,9.5995,10.002,10.2989,10.5221,7.7875,9.0621,9.3602,9.5154,9.708,10.1587,10.293,10.4097,7.1041,7.7138,50118.72336272725,48591051.58100972,94476279.73902065,17431068.197355926,141438209.08556804,134022844.3826774,37403371.13919427,14706581.624255981,6278166.722629125,117041998.789226,36922681.19850755,14099466.239393504,7089128.271957268,4549653.965047497
8.1,4.68,0.695,0.00217,0.012307,CO,-0.146,0.29844,3.6,5.104,9.4283,9.2494,9.7696,8.7211,9.1775,9.7092,10.0802,10.4498,9.2427,9.7137,10.1071,10.3971,10.6158,7.9398,9.1947,9.478,9.6266,9.8101,10.2474,10.3816,10.4951,7.2983,7.899,47863.0092322638,43679797.6850808,84327088.03707533,15903339.207230527,123359064.95127414,119790713.3135667,33843484.15164897,13431238.405131137,5768689.515540865,104767371.98523112,33393162.486623492,12858993.95587541,6506645.635251961,4193172.093561591
8.1,4.66,0.692,0.00247,0.012279,CO,-0.228,0.30053,3.59,5.3088,9.5701,9.3967,9.9005,8.8974,9.324,9.8455,10.2107,10.5775,9.3835,9.8489,10.2369,10.5246,10.7445,8.1148,9.3486,9.6115,9.7619,9.9384,10.3733,10.5103,10.6273,7.4954,8.0967,45708.818961487515,38506941.09490524,73964871.33215931,14161417.437362254,105348770.46358822,105148130.01340811,29987031.046845313,11964497.420034755,5151996.594729327,92445218.3458204,29618015.30170947,11462131.712012652,5812133.181166185,3741459.8513277136
8.1,4.64,0.689,0.00281,0.012252,CO,-0.309,0.30253,3.581,5.5133,9.6801,9.5098,9.9983,9.0278,9.4389,9.9479,10.3094,10.6729,9.4957,9.952,10.335,10.6204,10.8372,8.2454,9.4674,9.7187,9.8646,10.0355,10.4617,10.5945,10.7097,7.6749,8.25,43651.58322401656,34950310.876993835,66941821.98370909,12998664.87601253,93838594.3656494,95006556.17064172,27408514.101628814,10973027.885037927,4739446.113125016,83736822.11309716,27053781.344078258,10518102.94492767,5344752.262215344,3450429.1306815143
8.1,4.62,0.686,0.00321,0.012226,CO,-0.391,0.30447,3.572,5.7177,9.7742,9.6097,10.0825,9.1554,9.5371,10.0368,10.3931,10.7529,9.5914,10.0403,10.418,10.7012,10.9146,8.3716,9.5702,9.8091,9.9524,10.1178,10.534,10.6648,10.7776,7.8888,8.4214,41686.93834703355,32185201.796405174,61317257.46192563,12079916.728394711,83788938.23126191,87160310.61618468,25361251.7501397,10202149.33348301,4421532.108282387,76998394.25380534,25046853.11968146,9785490.74387265,4982562.707026736,3226697.890113704
8.1,4.6,0.683,0.00367,0.0122,CO,-0.473,0.30637,3.563,5.922,9.8677,9.7077,10.1661,9.2754,9.6337,10.1251,10.4776,10.8348,9.687,10.1281,10.5042,10.7839,10.9951,8.4903,9.6695,9.9,10.0391,10.2006,10.6081,10.7336,10.8437,8.0765,8.5728,39810.71705534969,29655507.322529793,56264160.52532926,11232412.96419726,75341768.23310605,80080705.552066,23480092.672778293,9478525.826606404,4117768.288070467,70809379.70034938,23199695.80988475,9077196.396125162,4636837.698237856,3008897.7299022633
8.1,4.58,0.681,0.00421,0.012175,CO,-0.554,0.30819,3.554,6.1261,9.9476,9.7936,10.2349,9.3847,9.719,10.1997,10.5455,10.8982,9.7696,10.2027,10.5716,10.8482,11.0558,8.5987,9.7583,9.9769,10.1133,10.2682,10.6649,10.7883,10.8951,8.2698,8.7215,38018.93963205613,27664770.99700528,52197964.183972254,10586070.542260047,68406525.17048348,74334360.99390388,22011088.920213897,8940514.653802134,3900170.7979822494,65891972.95476361,21748234.74974233,8565908.945866616,4388171.740355313,2856992.815329737
8.1,4.56,0.678,0.00485,0.012152,CO,-0.636,0.30992,3.546,6.3301,10.0306,9.88,10.3077,9.4924,9.8055,10.2775,10.6179,10.967,9.853,10.2796,10.6439,10.917,11.1223,8.7042,9.8487,10.0557,10.1885,10.3387,10.7251,10.8442,10.9489,8.4402,8.8587,36307.8054770101,25725836.054047577,48387811.8320102,9937043.746129934,62181321.60152806,68902032.08662087,20566668.4192133,8395468.51783851,3674565.9326427644,61251246.2578504,20337915.10591786,8044441.01612682,4134338.5248762113,2697438.5899851215
8.1,4.54,0.676,0.00561,0.012129,CO,-0.718,0.31162,3.538,6.5339,10.1101,9.9647,10.378,9.5975,9.8887,10.3511,10.6886,11.0336,9.9353,10.3547,10.715,10.9854,11.1859,8.8095,9.9355,10.1329,10.2623,10.4076,10.7853,10.9012,11.0028,8.6089,8.9939,34673.685045253165,24000209.196713522,44926388.95290198,9349378.268160593,56658552.86958909,64061567.35705937,19291654.522828963,7896060.495416228,3469058.1034292346,56995485.72874193,19050744.819394838,7563127.1418909365,3896651.4808103587,2553624.8498567464
8.1,4.52,0.673,0.00654,0.012106,CO,-0.799,0.31328,3.53,6.7377,10.1879,10.0457,10.4465,9.7011,9.9706,10.4245,10.7576,11.0984,10.0162,10.4277,10.7832,11.0507,11.2488,8.9113,10.0196,10.2082,10.3343,10.4759,10.8427,10.9562,11.0562,8.7743,9.1282,33113.112148259075,22425579.79500183,41855271.7206035,8811125.442991162,51698046.264053494,59632938.8672568,18099147.896752212,7438050.45416081,3280501.3957862537,53104229.520469286,17879715.856749754,7129680.267476996,3683156.8744302895,2419055.034512319
8.1,4.5,0.671,0.0077,0.012084,CO,-0.881,0.31489,3.522,6.9413,10.2642,10.1274,10.5132,9.8048,10.0507,10.4961,10.8246,11.1631,10.093,10.4977,10.8497,11.1154,11.3116,9.0133,10.1033,10.2819,10.4048,10.5417,10.8989,11.0102,11.108,8.9397,9.2627,31622.776601683792,20979908.32481778,38962792.14189898,8316321.881046986,47160026.10308311,55593769.10259627,17005837.891065538,7018414.698948298,3101988.138630874,49657976.43672363,16824436.1648984,6730540.7833466185,3482732.533470302,2291425.040970905
8.1,4.48,0.669,0.00915,0.012064,CO,-0.962,0.31641,3.515,7.1448,10.3399,10.2077,10.5768,9.9046,10.1327,10.5653,10.8875,11.2217,10.1726,10.5677,10.9131,11.1752,11.3684,9.1135,10.19,10.3518,10.473,10.6024,10.9516,11.0626,11.1581,9.0996,9.3924,30199.51720402019,19631901.315001823,36305201.188032486,7869190.634187724,43161130.65078171,51720759.671025164,16008727.457267648,6645349.121437721,2948756.4847920095,46300725.293327935,15826296.391336652,6369843.118650266,3307035.8200656646,2181847.693974948
8.1,4.46,0.666,0.01103,0.012044,CO,-1.043,0.3179,3.508,7.3482,10.4127,10.285,10.6428,10.005,10.2094,10.6345,10.9531,11.2852,10.2471,10.6366,10.9782,11.2382,11.429,9.2129,10.2694,10.4239,10.5405,10.6675,11.0083,11.1156,11.2096,9.2659,9.5261,28840.31503126606,18419741.270279605,33922668.717449315,7429699.175351453,39479712.040528774,48353293.263716415,15070163.855285909,6276520.699481287,2790487.441627408,43373948.31240409,14902545.559335746,6019077.007761902,3130978.3339768993,2070263.352264636
8.1,4.44,0.664,0.01351,0.012024,CO,-1.125,0.31937,3.501,7.5515,10.4851,10.3617,10.7034,10.0991,10.288,10.7012,11.014,11.3417,10.3244,10.7025,11.0382,11.2945,11.4827,9.306,10.3526,10.4936,10.6058,10.7253,11.0587,11.1633,11.258,9.4269,9.654,27542.28703338169,17288888.92752346,31714186.052554537,7049767.402691056,36322650.74618473,45126288.65049833,14219408.562770078,5953913.54308885,2657808.1625272944,40527752.11433032,14071617.346980069,5714437.119967102,2982659.113259784,1976920.2629763393
8.1,4.42,0.662,0.01697,0.012006,CO,-1.206,0.33085,3.478,7.7549,10.5513,10.4329,10.7576,10.1836,10.362,10.7617,11.068,11.3914,10.3961,10.7632,11.0921,11.3456,11.533,9.3895,10.4292,10.5566,10.6654,10.7771,11.1041,11.2087,11.3023,9.5892,9.7739,26302.679918953814,16315047.453502744,29790296.572645403,6726606.852890592,33703794.02173037,42279600.41717826,13489094.276099816,5682033.3845647415,2546507.0800964897,38051674.514712974,13346434.943309909,5453994.747339946,2854071.691693809,1893086.2886646856
8.1,4.4,0.66,0.02178,0.011989,CO,-1.287,0.34311,3.454,7.9582,10.6058,10.4922,10.8031,10.2531,10.4224,10.8116,11.1123,11.4341,10.4556,10.8128,11.1364,11.3886,11.5751,9.4579,10.4933,10.6099,10.7145,10.8215,11.1428,11.2476,11.3428,9.751,9.8785,25118.864315095823,15560340.597392883,28286914.93459552,6468845.862603647,31703670.78748428,40105287.298375055,12919733.268970966,5470342.754574597,2455249.5812016707,36124723.43430151,12786628.029950768,5250799.956692693,2751031.9589102976,1826253.947209731
8.1,4.38,0.658,0.02847,0.011972,CO,-1.369,0.35555,3.43,8.1616,10.6715,10.5611,10.8631,10.3468,10.491,10.8739,11.1737,11.4926,10.5214,10.8759,11.1986,11.4482,11.6315,9.5512,10.5636,10.6755,10.7759,10.8806,11.1973,11.2997,11.3919,9.9192,10.0029,23988.329190194898,14688302.32843905,26623067.206946407,6138458.26015308,29165004.895950686,37756709.27213911,12233931.703362018,5184263.207727903,2333072.0435409243,34097067.93998415,12098973.779864509,4972536.469989243,2611488.6322471895,1738736.1021769957
8.1,4.36,0.656,0.03746,0.011953,CO,-1.45,0.36907,3.404,8.3652,10.7072,10.5988,10.8923,10.3878,10.5285,10.9054,11.2012,11.5196,10.5594,10.908,11.2268,11.4745,11.6585,9.5909,10.6036,10.7076,10.8079,10.9087,11.2235,11.3279,11.4201,10.0416,10.0653,22908.676527677748,14258412.680903098,25796314.663255043,5994581.712013697,28173553.724623274,36590952.36701898,11921904.236887809,5070684.8583503105,2283009.5439061276,33029090.293692846,11783874.61725007,4860462.025630786,2557100.0282869055,1701426.7204452022
8.1,4.34,0.654,0.04904,0.011935,CO,-1.531,0.3818,3.379,8.5687,10.7376,10.6315,10.9191,10.4237,10.5637,10.9344,11.2287,11.5457,10.5924,10.9363,11.2521,11.5012,11.6839,9.6281,10.6385,10.7388,10.835,10.9345,11.2493,11.352,11.447,10.1436,10.1208,21877.616239495517,13906574.689746268,25106528.010160517,5866078.585538055,27339503.502435625,35530613.42465182,11642724.510919336,4958788.809133208,2235510.527238963,32137020.113391846,11515349.01002105,4762846.079694493,2502515.1155115278,1667102.2640987055
8.1,4.32,0.653,0.06319,0.011918,CO,-1.613,0.39398,3.355,8.772,10.7852,10.6817,10.9591,10.4811,10.615,10.9787,11.2681,11.5841,10.6433,10.9797,11.2935,11.5392,11.7206,9.6846,10.6916,10.7875,10.8795,10.9748,11.2859,11.3888,11.4824,10.2894,10.2076,20892.96130854041,13348063.288922718,24040569.00965107,5670037.892478658,26005709.555767108,33987622.821755275,11209150.644049814,4795718.655283237,2163987.7793221776,30752730.978714798,11095712.358594365,4597742.357902727,2423342.4717275356,1616293.8700488454
8.1,4.3,0.651,0.08011,0.011901,CO,-1.694,0.40563,3.333,8.9751,10.8505,10.7515,11.016,10.558,10.6857,11.0407,11.325,11.6365,10.7148,11.0429,11.3488,11.5915,11.7726,9.7614,10.7644,10.8545,10.939,11.0297,11.3374,11.4373,11.5287,10.4794,10.3283,19952.62314968879,12604862.395893348,22608127.536246408,5395923.862335468,24296770.954853207,31936008.98600129,10617262.5661357,4563872.979299968,2067924.3906670162,28875102.92143227,10498204.817586746,4381920.388879074,2315979.1520749587,1545112.754828973
8.1,4.28,0.649,0.09978,0.011885,CO,-1.775,0.4166,3.311,9.1781,10.9299,10.8347,11.0827,10.6426,10.772,11.115,11.3916,11.6991,10.8,11.117,11.4173,11.6541,11.8353,9.8462,10.8503,10.937,11.0114,11.0949,11.4005,11.4954,11.5854,10.6902,10.4614,19054.607179632483,11747532.284282103,20996801.025645074,5088084.9229087625,22536013.69413544,29575301.459688652,9941710.121289,4303899.156948422,1957326.1299848894,26767763.044738147,9832038.710125687,4125086.133748083,2192114.243303823,1462341.1996646335
8.1,4.26,0.647,0.12217,0.011871,CO,-1.856,0.42689,3.291,9.3809,11.0175,10.9275,11.1628,10.7505,10.8663,11.1989,11.4728,11.7757,10.8937,11.2022,11.4972,11.7322,11.9122,9.9519,10.9441,11.0275,11.0955,11.1742,11.4761,11.5671,11.6533,10.9167,10.6176,18197.008586099826,10862515.50520605,19322214.315824267,4737378.813529755,20452239.04191918,27178966.742619272,9224118.169971596,4003186.7369342833,1828297.881609185,24612506.356231272,9111446.761488851,3841464.139999784,2044781.682760594,1365565.3173761626
8.1,4.24,0.646,0.14726,0.011857,CO,-1.937,0.43641,3.273,9.5835,11.1144,11.028,11.2483,10.8549,10.9681,11.2923,11.5588,11.8564,10.9966,11.2951,11.5823,11.8132,11.9906,10.0553,11.0475,11.129,11.1856,11.2584,11.5561,11.6406,11.7234,11.154,10.7753,17378.00828749376,9958533.292700943,17655574.96049188,4388974.76388532,18621121.34797124,24804924.669696424,8483788.406933492,3707070.277943854,1701343.1869730875,22439894.53956702,8384020.125662369,3560260.3172445926,1902268.9375694087,1273436.953200192
8.1,4.22,0.645,0.17523,0.011844,CO,-2.018,0.44518,3.256,9.7858,11.2172,11.1348,11.3398,10.9688,11.0769,11.3906,11.651,11.9421,11.1055,11.3936,11.6756,11.8991,12.0745,10.1682,11.1561,11.2359,11.2822,11.3478,11.6369,11.7163,11.7962,11.4025,10.9442,16595.869074375598,9078795.253094578,16036689.014529893,4043113.4329908974,16803458.30044361,22489031.603772614,7766452.145412781,3412743.6062310324,1575668.1941440697,20342936.98629631,7673705.96899282,3274270.806573825,1761427.443999211,1181327.4363397534
8.1,4.2,0.643,0.20621,0.011832,CO,-2.099,0.45331,3.24,9.9881,11.3234,11.2462,11.4324,11.0896,11.1912,11.4918,11.744,12.0298,11.2186,11.4948,11.7674,11.9878,12.1595,10.2892,11.2706,11.345,11.3812,11.439,11.7166,11.7891,11.8652,11.6627,11.1221,15848.93192461114,8249520.334175908,14502243.165174404,3720115.3085291716,15064653.536516747,20282955.144354597,7089623.072389148,3138948.115103681,1456348.2693568852,18367672.588184398,7004959.519468014,3014914.992316309,1626541.8205955655,1094588.210151813
8.1,4.18,0.642,0.24043,0.011821,CO,-2.18,0.46087,3.225,10.1901,11.4291,11.3589,11.5231,11.2172,11.3055,11.5913,11.8351,12.1139,11.3325,11.5957,11.8597,12.0729,12.2407,10.4152,11.3871,11.455,11.4795,11.5275,11.7925,11.8587,11.9287,11.9327,11.3083,15135.612484362071,7498192.480474245,13096735.90754012,3428343.1808612626,13419212.658283038,18290227.92610652,6480836.026234037,2891691.939752441,1350308.9038075046,16569218.177293226,6395190.96307207,2774360.92258706,1506721.9716243425,1017603.6436319955
8.1,4.16,0.641,0.27818,0.011811,CO,-2.261,0.46794,3.211,10.392,11.5336,11.4718,11.6114,11.3486,11.4205,11.69,11.9234,12.1954,11.4462,11.694,11.9466,12.1554,12.3189,10.5444,11.505,11.5628,11.5746,11.6133,11.8648,11.9234,11.9892,12.2171,11.5004,14454.39770745928,6821685.296709391,11823285.202490948,3165915.9759862917,11909735.898273874,16479886.381196454,5927698.813371444,2670343.43609472,1254781.8467161467,14947105.925958555,5851518.910217627,2565299.3692071233,1398840.562058674,948492.167685256
8.1,4.14,0.64,0.31993,0.011801,CO,-2.342,0.4746,3.198,10.5938,11.6423,11.5878,11.7021,11.4841,11.5406,11.7925,12.0141,12.2778,11.5644,11.7961,12.0371,12.2388,12.3989,10.6803,11.6273,11.6725,11.6737,11.7004,11.9359,11.9866,12.0487,12.5141,11.7,13803.842646028837,6182261.8917699205,10643240.703449959,2917125.42650054,10530229.810483852,14779166.146230383,5402836.775347958,2460496.9917099667,1165048.3397020625,13428046.316027552,5335367.403879018,2364143.165847414,1297609.2576717692,882611.267274495
8.1,4.12,0.639,0.36623,0.011792,CO,-2.422,0.48091,3.186,10.7955,11.7459,11.7009,11.7859,11.6244,11.6572,11.8879,12.0984,12.3536,11.6784,11.8919,12.1209,12.3156,12.4735,10.8186,11.7489,11.7775,11.7663,11.7812,12.0013,12.0446,12.1023,12.828,11.9097,13182.567385564074,5628207.211574388,9604982.187513528,2704567.2351531787,9267882.7111389,13294518.452899,4955922.735963773,2280161.0256259213,1088144.634627491,12108086.370519502,4892231.626487738,2191878.3770749825,1210839.5974179532,825262.5680278782
8.1,4.1,0.638,0.41784,0.011783,CO,-2.503,0.48696,3.174,10.9972,11.853,11.818,11.8726,11.7705,11.7778,11.9874,12.1856,12.4316,11.796,11.9914,12.2072,12.3946,12.547,10.9612,11.8741,11.8864,11.8625,11.8643,12.0674,12.1028,12.1542,13.1602,12.1307,12589.254117941662,5107322.287064384,8636141.499778131,2500811.5592650636,8113415.448351949,11915048.015977288,4528847.664223296,2107408.385259424,1014261.1966340261,10881748.79269796,4470645.11592908,2027494.2817471083,1127586.3261089604,772423.2411849615
8.1,4.08,0.637,0.4756,0.011775,CO,-2.584,0.49284,3.163,11.1987,11.9597,11.9362,11.9576,11.9205,11.9001,12.0861,12.2715,12.5088,11.9152,12.0899,12.2935,12.4729,12.62,11.1106,12.0009,11.9956,11.9581,11.9477,12.1324,12.1612,12.2084,13.5102,12.3612,12022.644346174131,4635570.471365619,7755854.85924524,2315639.194580782,7076094.731410978,10660209.029613018,4140927.5911034737,1949748.646422899,945931.601264745,9763569.446649928,4088463.456425358,1875122.1405062168,1050557.250534752,723178.0841445368
8.1,4.06,0.636,0.54077,0.011766,CO,-2.664,0.49864,3.152,11.4003,12.0682,12.0571,12.0443,12.077,12.0237,12.1858,12.3584,12.5875,12.0356,12.1898,12.3803,12.552,12.6939,11.2649,12.1309,12.1051,12.0547,12.0311,12.1954,12.2151,12.2569,13.8861,12.6057,11481.536214968817,4201141.71129822,6949184.090793379,2141189.156466627,6135610.498766603,9527739.271724142,3783395.8220881466,1802531.1184629921,881137.8922166188,8752109.914608087,3734773.4584368593,1733699.0263301576,978236.510666121,676627.1185632151
8.1,4.04,0.635,0.61568,0.011758,CO,-2.745,0.50457,3.14,11.6019,12.1808,12.1808,12.1351,12.2437,12.154,12.2879,12.4501,12.6685,12.1617,12.2919,12.4711,12.6341,12.7712,11.4296,12.2686,12.2164,12.1546,12.1188,12.2614,12.2727,12.3082,14.2831,12.8624,10964.78196143185,3792434.6651453576,6209327.879976428,1972085.8261843158,5269489.679932023,8461758.77576275,3448518.4695661436,1658798.16936322,818907.1336027075,7803034.724198475,3404199.7868350088,1596777.7841436851,908227.4930396558,630986.6579580577
8.1,4.02,0.634,0.7052,0.011749,CO,-2.825,0.51072,3.128,11.8036,12.2961,12.3114,12.2268,12.4187,12.2894,12.3939,12.5418,12.7523,12.2931,12.3964,12.5628,12.7204,12.8512,11.6016,12.4122,12.334,12.2566,12.2077,12.3305,12.3308,12.3604,14.7023,13.135,10471.285480508985,3415570.1681329776,5514037.269967028,1815143.295369973,4491937.060066184,7481104.902234717,3132547.466377626,1526787.696313089,759241.1851478079,6924184.694769387,3096564.597626138,1469703.0172829968,840116.952737263,587063.7716341572
